"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P0445yo" 15 16 "Same" "A" "Y" "Four-Five" 4020 "TARGET" 4137.2 0 2069.5 0 89.2025862068966 0 117.2 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00853242320819114
"P0445yo" 16 8 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 5141.1 0 2163.4 0 92.8497854077253 0 1131.1 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000884095128635841
"P0445yo" 17 6 "Different" "A" "Y" "Four-Five" 4020 "TARGET" 5863.5 0 2053.4 0 88.5086206896552 0 1843.5 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.0005424464334147
"P0445yo" 18 15 "Same" "AN" "Y" "Four-Five" 4020 "TARGET" 5318.3 0 1831.8 0 78.9568965517242 0 1298.3 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000770238003543095
"P0445yo" 21 20 "Same" "AN" "N" "Four-Five" 4010 "TARGET" 5269.4 0 2096.8 0 89.9914163090129 0 1259.4 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000794028902652057
"P0445yo" 22 19 "Different" "A" "N" "Four-Five" 4010 "TARGET" 4934.5 0 1372.2 0 58.8927038626609 0 924.5 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00108166576527853
"P0445yo" 27 14 "Same" "A" "N" "Four-Five" 4020 "TARGET" 5975.9 0 2020.1 0 87.073275862069 0 1955.9 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000511273582493993
"P0445yo" 28 13 "Different" "AN" "N" "Four-Five" 4020 "TARGET" 4249.1 0 1986.6 0 85.6293103448276 0 229.1 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00436490615451767
"P0445yo" 35 6 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4567.8 0 1986.8 0 85.6379310344827 0 547.8 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.0018254837531946
"P0445yo" 36 5 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 4872.9 0 1930.1 0 82.8369098712446 0 862.9 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00115888283694519
"P0445yo" 38 3 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 5433.5 0 2106.4 0 90.4034334763948 0 1423.5 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000702493853178785
"P0445yo" 39 2 "Same" "A" "Y" "Four-Five" 4010 "TARGET" 5739.1 0 2096.7 0 89.9871244635193 0 1729.1 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000578335550286276
"P04yo" 1 7 "Same" "A" "N" "Three" 4020 "TARGET" 4586.7 0 1686.7 0 72.7025862068965 0 566.7 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00176460208223046
"P04yo" 2 4 "Different" "A" "N" "Three" 4020 "TARGET" 5456.8 0 1820.2 0 78.4568965517241 0 1436.8 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000695991091314031
"P04yo" 4 17 "Same" "AN" "N" "Three" 4010 "TARGET" 6241.1 0 2163.3 0 92.8454935622318 0 2231.1 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000448209403433284
"P04yo" 5 20 "Different" "AN" "Y" "Three" 4010 "TARGET" 6098.4 0 1830.1 0 78.5450643776824 0 2088.4 0.5 0.49737876802097 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.000478835472131776
"P04yo" 8 19 "Same" "A" "N" "Three" 4010 "TARGET" 5923.2 0 2030 0 87.1244635193133 0 1913.2 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000522684507631194
"P04yo" 9 9 "Different" "AN" "N" "Three" 4020 "TARGET" 4244.4 0 1986.4 0 85.6206896551724 0 224.4 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00445632798573976
"P04yo" 11 10 "Different" "A" "N" "Three" 4020 "TARGET" 5221.5 0 1118.5 0 48.2112068965517 0 1201.5 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000832292967124428
"P04yo" 13 14 "Different" "A" "N" "Three" 4020 "TARGET" 5151.8 0 1920 0 82.7586206896551 0 1131.8 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000883548330093656
